t,avg_water_temp,n_active_bubbles,retentained,dissolved,degraded,precipitated,leached
35.96506864,24.39587402,0,99.99543173,0.004025246,0.000543027,0,0.004025246
36.46524209,24.47595215,0,99.9952874,0.004175378,0.000537223,0,0.004175378
36.98008145,24.55554199,0,99.99513052,0.004330877,0.000538601,0,0.004330877
37.48881036,24.6340332,0,99.99497992,0.004481906,0.000538174,0,0.004481906
37.99713049,24.71472168,0,99.99482932,0.004634285,0.000536398,0,0.004634285
38.50057964,24.79837036,0,99.99467871,0.004787793,0.000533492,0,0.004787793
39.00464982,24.88632202,0,99.99452184,0.004946421,0.000531742,0,0.004946421
39.5123294,24.97872925,1,99.99435241,0.005112213,0.000535377,0,0.005112213
40.01677795,25.07498169,2,99.99418926,0.005280545,0.000529814,3.84E-07,0.005280929
40.51755728,25.1756897,1,99.99401355,0.005447016,0.000535438,3.99E-06,0.005451006
41.02813179,25.28268433,1,99.99383785,0.005619332,0.000532253,1.06E-05,0.005629932
41.54178204,25.39254761,0,99.99366215,0.005791602,0.000526599,1.97E-05,0.005811302
42.05265479,25.50198364,2,99.99348645,0.005962709,0.000520751,3.01E-05,0.005992809
42.55569323,25.60803223,0,99.99329192,0.006138924,0.000528171,4.10E-05,0.006179924
43.06335003,25.71237183,1,99.99309739,0.006303733,0.000529511,6.94E-05,0.006373133
43.56477629,25.81207275,0,99.99290914,0.00646153,0.000527794,0.000101539,0.006563069
44.07699945,25.9119873,2,99.99272716,0.006637062,0.000517964,0.000117816,0.006754878
44.58273965,26.01223755,2,99.99253891,0.006817389,0.000519159,0.000124546,0.006941935
45.09380518,26.11724854,5,99.99235065,0.006997932,0.000520493,0.000130923,0.007128855
45.6067443,26.22714233,12,99.99216867,0.007172541,0.000517221,0.000141563,0.007314104
46.10737144,26.33972168,10,99.9919867,0.00732712,0.000520594,0.000165589,0.007492709
46.60890603,26.45336914,10,99.99181727,0.007470425,0.000514723,0.000197583,0.007668008
47.11732396,26.56665039,8,99.99164784,0.007608974,0.000515838,0.000227346,0.00783632
47.63059896,26.67706299,10,99.99148469,0.007734146,0.000519424,0.000261742,0.007995888
48.14317985,26.78439331,17,99.99134036,0.007828562,0.000513968,0.000317109,0.008145671
48.65288954,26.89312744,18,99.99119603,0.007928482,0.000513232,0.000362252,0.008290734
49.16556282,27.0071106,23,99.99105171,0.008033656,0.000513523,0.000401115,0.008434771
49.67364016,27.12335205,19,99.99091365,0.008140316,0.00051322,0.00043281,0.008573126
50.17855953,27.24053955,40,99.9907756,0.00824273,0.00051878,0.000462887,0.008705617
50.6865131,27.35733032,32,99.9906501,0.008337514,0.000514975,0.00049741,0.008834924
51.20014221,27.47341919,30,99.9905246,0.00842115,0.000512523,0.000541729,0.008962879
51.70613512,27.58746338,59,99.99040537,0.008483887,0.000508003,0.000602738,0.009086625
52.21106891,27.70184326,67,99.99027359,0.008534399,0.000510574,0.000681433,0.009215832
52.72297372,27.82162476,53,99.99013554,0.008585419,0.000505388,0.000773651,0.00935907
53.23087361,27.94216919,52,99.98998494,0.008643607,0.000500917,0.000870536,0.009514143
53.73778695,28.06378174,46,99.98982179,0.008715732,0.000503115,0.000959366,0.009675098
54.25080273,28.18582153,72,99.98965863,0.008811347,0.00050152,0.001028498,0.009839845
54.75183495,28.29776001,75,99.98950176,0.008908856,0.00049748,0.001091906,0.010000762
55.25705901,28.40881348,78,99.98934488,0.009010059,0.000498817,0.001146244,0.010156303
55.75769011,28.52038574,75,99.98920055,0.009108187,0.000493041,0.00119822,0.010306407
56.25969089,28.63146973,83,99.98905622,0.00920459,0.000487987,0.001251199,0.010455789
56.7606451,28.73910522,73,99.9889119,0.009287895,0.000489851,0.001310357,0.010598252
57.26776248,28.84173584,117,99.98878012,0.009377651,0.000484425,0.001357803,0.010735454
57.76887751,28.93862915,107,99.98865462,0.009474791,0.000483973,0.001386617,0.010861408
58.27064046,29.03500366,121,99.98854167,0.009568044,0.000482021,0.001408268,0.010976312
58.77367585,29.12976074,119,99.98842871,0.009660552,0.00048295,0.001427782,0.011088334
59.28050233,29.22406006,127,99.98832831,0.009743673,0.000470518,0.001457496,0.011201169
59.78285769,29.32034302,149,99.98821536,0.009808176,0.000470644,0.001505818,0.011313994
60.2923023,29.42077637,154,99.98809613,0.009866575,0.000473763,0.001563527,0.011430102
60.79947286,29.5249939,181,99.98798318,0.00991065,0.000469577,0.00163659,0.01154724
61.30357713,29.63095093,203,99.98787651,0.009940683,0.000461513,0.001721298,0.011661981
61.80789193,29.73730469,180,99.98776355,0.009961254,0.00046267,0.001812521,0.011773775
62.31692871,29.84576416,166,99.98765688,0.009973529,0.000462321,0.001907273,0.011880802
62.82220891,29.95291138,189,99.98756275,0.009979836,0.000450987,0.002006426,0.011986262
63.32501934,30.05487061,169,99.9874498,0.00999873,0.000452009,0.002099462,0.012098192
63.83345889,30.15313721,210,99.98733685,0.010029918,0.000443879,0.002189356,0.012219274
64.34375136,30.24911499,261,99.98721135,0.010078589,0.000441168,0.002268898,0.012347487
64.85201916,30.34362793,269,99.98707957,0.010137975,0.000437189,0.002345268,0.012483243
65.35387419,30.43963623,270,99.98694779,0.010205495,0.00042985,0.002416864,0.012622359
65.85958502,30.54046631,269,99.98680346,0.01027781,0.000432009,0.002486717,0.012764527
66.36289187,30.64419556,320,99.98667169,0.010341304,0.000425948,0.002561062,0.012902366
66.86582356,30.74743652,343,99.98654618,0.010391664,0.000419903,0.002642248,0.013033912
67.36632825,30.85049438,347,99.98641441,0.010430648,0.000428435,0.00272651,0.013157158
67.87789255,30.95480347,353,99.98630773,0.010458452,0.000421081,0.002812735,0.013271187
68.38900797,31.05682373,339,99.98620733,0.01047666,0.000420133,0.002895878,0.013372538
68.89720659,31.15335083,353,99.98611948,0.01048952,0.000412276,0.002978727,0.013468247
69.40781951,31.24481201,364,99.98602535,0.010504704,0.000407907,0.003062037,0.013566741
69.91779345,31.33181763,418,99.98593122,0.010516918,0.000404936,0.003146921,0.013663839
70.42038382,31.4135437,483,99.98584337,0.010513618,0.000401128,0.003241881,0.013755499
70.93093921,31.49472046,450,99.98575552,0.010518239,0.000389461,0.003336778,0.013855017
71.43753958,31.57852173,479,99.98566767,0.010556347,0.000379586,0.003396396,0.013952743
71.94530271,31.66662598,551,99.98556727,0.010623333,0.000384797,0.003424601,0.014047934
72.45253361,31.76065063,508,99.98547942,0.010703465,0.000374292,0.003442826,0.014146291
72.96167533,31.85983276,610,99.98537902,0.010780128,0.000371424,0.003469432,0.01424956
73.46910243,31.96087646,620,99.98527861,0.010848144,0.000361665,0.003511576,0.01435972
73.97322558,32.06658936,569,99.98515311,0.010924288,0.000363541,0.003559059,0.014483347
74.47627126,32.18344116,666,99.98502761,0.011011435,0.000357901,0.003603054,0.014614489
74.9840199,32.31002808,633,99.98490211,0.011093346,0.000351285,0.003653261,0.014746607
75.48964964,32.43914795,730,99.98478288,0.011159107,0.000346919,0.003711093,0.0148702
76.00105393,32.56652832,704,99.9846511,0.011224497,0.000344474,0.003779924,0.015004421
76.51274871,32.69268799,866,99.98453815,0.011261045,0.000332657,0.003868146,0.015129191
77.02583318,32.81903076,931,99.9844252,0.011275114,0.000331048,0.003968638,0.015243752
77.53459236,32.94979858,979,99.98430597,0.011291285,0.000329317,0.004073425,0.01536471
78.03540448,33.07772827,977,99.98418047,0.011301478,0.0003256,0.00419245,0.015493928
78.53553002,33.20080566,890,99.98404869,0.01129636,0.000323431,0.004331514,0.015627874
79.04627771,33.32659912,928,99.98391692,0.011293609,0.000315033,0.00447444,0.015768049
79.55532902,33.45025635,991,99.98377887,0.011262996,0.000313768,0.004644371,0.015907367
80.0575058,33.57080078,992,99.98365336,0.011212008,0.000306693,0.004827935,0.016039943
80.56862912,33.68804932,1096,99.98352159,0.011138386,0.000306813,0.005033215,0.016171601
81.07673316,33.80310059,1104,99.98340236,0.01100864,0.000298993,0.005290008,0.016298648
81.58402445,33.92062378,1161,99.98328313,0.010867378,0.000292111,0.005557379,0.016424757
82.08900566,34.03945923,1224,99.98316391,0.010755748,0.000290481,0.005789865,0.016545613
82.59799584,34.16168213,1291,99.98305723,0.010652588,0.000279641,0.006010542,0.01666313
83.10617143,34.28735352,1215,99.98294428,0.010547328,0.000277055,0.00623134,0.016778668
83.60957797,34.41281128,1166,99.9828376,0.010439022,0.000272775,0.006450603,0.016889625
84.1208253,34.5345459,1259,99.98273092,0.010316892,0.00027016,0.006682024,0.016998916
